Module,Class,Function,Full Name,Type,Signature,Has *args,Has **kwargs,Line,File
bluetooth,BLE,config,BLE.config,method,"(self, *, **kwargs)",False,True,0,bluetooth.pyi
bluetooth,BLE,config,BLE.config,method,"(self, *, **kwargs)",False,True,0,bluetooth.pyi
deflate,DeflateIO,readline,DeflateIO.readline,method,"(self, *args, **kwargs)",True,True,0,deflate.pyi
deflate,DeflateIO,readinto,DeflateIO.readinto,method,"(self, *args, **kwargs)",True,True,0,deflate.pyi
deflate,DeflateIO,read,DeflateIO.read,method,"(self, *args, **kwargs)",True,True,0,deflate.pyi
deflate,DeflateIO,close,DeflateIO.close,method,"(self, *args, **kwargs)",True,True,0,deflate.pyi
dht,,dht_readinto,dht_readinto,function,"(*args, **kwargs)",True,True,0,dht.pyi
dht,DHTBase,measure,DHTBase.measure,method,"(self, *args, **kwargs)",True,True,0,dht.pyi
dht,DHTBase,__init__,DHTBase.__init__,method,"(self, *argv, **kwargs)",False,True,0,dht.pyi
dht,DHT22,measure,DHT22.measure,method,"(self, *args, **kwargs)",True,True,0,dht.pyi
dht,DHT22,temperature,DHT22.temperature,method,"(self, *args, **kwargs)",True,True,0,dht.pyi
dht,DHT22,humidity,DHT22.humidity,method,"(self, *args, **kwargs)",True,True,0,dht.pyi
dht,DHT22,__init__,DHT22.__init__,method,"(self, *argv, **kwargs)",False,True,0,dht.pyi
dht,DHT11,measure,DHT11.measure,method,"(self, *args, **kwargs)",True,True,0,dht.pyi
dht,DHT11,temperature,DHT11.temperature,method,"(self, *args, **kwargs)",True,True,0,dht.pyi
dht,DHT11,humidity,DHT11.humidity,method,"(self, *args, **kwargs)",True,True,0,dht.pyi
dht,DHT11,__init__,DHT11.__init__,method,"(self, *argv, **kwargs)",False,True,0,dht.pyi
ds18x20,,const,const,function,"(*args, **kwargs)",True,True,0,ds18x20.pyi
ds18x20,DS18X20,read_scratch,DS18X20.read_scratch,method,"(self, *args, **kwargs)",True,True,0,ds18x20.pyi
ds18x20,DS18X20,read_temp,DS18X20.read_temp,method,"(self, *args, **kwargs)",True,True,0,ds18x20.pyi
ds18x20,DS18X20,write_scratch,DS18X20.write_scratch,method,"(self, *args, **kwargs)",True,True,0,ds18x20.pyi
ds18x20,DS18X20,convert_temp,DS18X20.convert_temp,method,"(self, *args, **kwargs)",True,True,0,ds18x20.pyi
ds18x20,DS18X20,scan,DS18X20.scan,method,"(self, *args, **kwargs)",True,True,0,ds18x20.pyi
ds18x20,DS18X20,__init__,DS18X20.__init__,method,"(self, *argv, **kwargs)",False,True,0,ds18x20.pyi
esp,,gpio_matrix_in,gpio_matrix_in,function,"(*args, **kwargs)",True,True,0,esp.pyi
esp,,gpio_matrix_out,gpio_matrix_out,function,"(*args, **kwargs)",True,True,0,esp.pyi
esp32,PCNT,deinit,PCNT.deinit,method,"(self, *args, **kwargs)",True,True,0,esp32.pyi
esp32,PCNT,init,PCNT.init,method,"(self, *args, **kwargs)",True,True,0,esp32.pyi
esp32,PCNT,start,PCNT.start,method,"(self, *args, **kwargs)",True,True,0,esp32.pyi
esp32,PCNT,stop,PCNT.stop,method,"(self, *args, **kwargs)",True,True,0,esp32.pyi
esp32,PCNT,__init__,PCNT.__init__,method,"(self, id, *args, **kwargs)",True,True,0,esp32.pyi
esp32,RMT,deinit,RMT.deinit,method,"(self, *args, **kwargs)",True,True,0,esp32.pyi
espnow,ESPNowBase,irq,ESPNowBase.irq,method,"(self, *args, **kwargs)",True,True,0,espnow.pyi
espnow,ESPNowBase,mod_peer,ESPNowBase.mod_peer,method,"(self, *args, **kwargs)",True,True,0,espnow.pyi
espnow,ESPNowBase,get_peers,ESPNowBase.get_peers,method,"(self, *args, **kwargs)",True,True,0,espnow.pyi
espnow,ESPNowBase,stats,ESPNowBase.stats,method,"(self, *args, **kwargs)",True,True,0,espnow.pyi
espnow,ESPNowBase,set_pmk,ESPNowBase.set_pmk,method,"(self, *args, **kwargs)",True,True,0,espnow.pyi
espnow,ESPNowBase,peer_count,ESPNowBase.peer_count,method,"(self, *args, **kwargs)",True,True,0,espnow.pyi
espnow,ESPNowBase,recvinto,ESPNowBase.recvinto,method,"(self, *args, **kwargs)",True,True,0,espnow.pyi
espnow,ESPNowBase,send,ESPNowBase.send,method,"(self, *args, **kwargs)",True,True,0,espnow.pyi
espnow,ESPNowBase,active,ESPNowBase.active,method,"(self, *args, **kwargs)",True,True,0,espnow.pyi
espnow,ESPNowBase,any,ESPNowBase.any,method,"(self, *args, **kwargs)",True,True,0,espnow.pyi
espnow,ESPNowBase,get_peer,ESPNowBase.get_peer,method,"(self, *args, **kwargs)",True,True,0,espnow.pyi
espnow,ESPNowBase,del_peer,ESPNowBase.del_peer,method,"(self, *args, **kwargs)",True,True,0,espnow.pyi
espnow,ESPNowBase,add_peer,ESPNowBase.add_peer,method,"(self, *args, **kwargs)",True,True,0,espnow.pyi
espnow,ESPNowBase,config,ESPNowBase.config,method,"(self, *args, **kwargs)",True,True,0,espnow.pyi
espnow,ESPNowBase,__init__,ESPNowBase.__init__,method,"(self, *argv, **kwargs)",False,True,0,espnow.pyi
flashbdev,Partition,readblocks,Partition.readblocks,method,"(self, *args, **kwargs)",True,True,0,flashbdev.pyi
flashbdev,Partition,ioctl,Partition.ioctl,method,"(self, *args, **kwargs)",True,True,0,flashbdev.pyi
flashbdev,Partition,set_boot,Partition.set_boot,method,"(self, *args, **kwargs)",True,True,0,flashbdev.pyi
flashbdev,Partition,writeblocks,Partition.writeblocks,method,"(self, *args, **kwargs)",True,True,0,flashbdev.pyi
flashbdev,Partition,info,Partition.info,method,"(self, *args, **kwargs)",True,True,0,flashbdev.pyi
flashbdev,Partition,find,Partition.find,method,"(self, *args, **kwargs)",True,True,0,flashbdev.pyi
flashbdev,Partition,get_next_update,Partition.get_next_update,method,"(self, *args, **kwargs)",True,True,0,flashbdev.pyi
flashbdev,Partition,mark_app_valid_cancel_rollback,Partition.mark_app_valid_cancel_rollback,method,"(cls, *args, **kwargs)",True,True,0,flashbdev.pyi
flashbdev,Partition,__init__,Partition.__init__,method,"(self, *argv, **kwargs)",False,True,0,flashbdev.pyi
framebuf,,FrameBuffer1,FrameBuffer1,function,"(*args, **kwargs)",True,True,0,framebuf.pyi
framebuf,FrameBuffer,fill_rect,FrameBuffer.fill_rect,method,"(self, *args, **kwargs)",True,True,0,framebuf.pyi
gc,,isenabled,isenabled,function,"(*args, **kwargs)",True,True,0,gc.pyi
hashlib,sha1,digest,sha1.digest,method,"(self, *args, **kwargs)",True,True,0,hashlib.pyi
hashlib,sha1,update,sha1.update,method,"(self, *args, **kwargs)",True,True,0,hashlib.pyi
hashlib,sha256,digest,sha256.digest,method,"(self, *args, **kwargs)",True,True,0,hashlib.pyi
hashlib,sha256,update,sha256.update,method,"(self, *args, **kwargs)",True,True,0,hashlib.pyi
hashlib,md5,digest,md5.digest,method,"(self, *args, **kwargs)",True,True,0,hashlib.pyi
hashlib,md5,update,md5.update,method,"(self, *args, **kwargs)",True,True,0,hashlib.pyi
inisetup,,check_bootsec,check_bootsec,function,"(*args, **kwargs)",True,True,0,inisetup.pyi
inisetup,,fs_corrupted,fs_corrupted,function,"(*args, **kwargs)",True,True,0,inisetup.pyi
inisetup,,setup,setup,function,"(*args, **kwargs)",True,True,0,inisetup.pyi
machine,,dht_readinto,dht_readinto,function,"(*args, **kwargs)",True,True,0,machine.pyi
machine,,const,const,function,"(*args, **kwargs)",True,True,0,machine.pyi
machine,Counter,_configure,Counter._configure,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Counter,_overflow,Counter._overflow,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Counter,init,Counter.init,method,"(self, src, *args, **kwargs)",True,True,0,machine.pyi
machine,Counter._PCNT,deinit,Counter._PCNT.deinit,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Counter._PCNT,init,Counter._PCNT.init,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Counter._PCNT,irq,Counter._PCNT.irq,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Counter._PCNT,start,Counter._PCNT.start,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Counter._PCNT,value,Counter._PCNT.value,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Counter._PCNT,stop,Counter._PCNT.stop,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Counter._PCNT,__init__,Counter._PCNT.__init__,method,"(self, *argv, **kwargs)",False,True,0,machine.pyi
machine,Counter,__init__,Counter.__init__,method,"(self, id, *args, **kwargs)",True,True,0,machine.pyi
machine,Encoder,_overflow,Encoder._overflow,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Encoder,_configure,Encoder._configure,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Encoder,phases,Encoder.phases,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Encoder,init,Encoder.init,method,"(self, phase_a, phase_b, *args, **kwargs)",True,True,0,machine.pyi
machine,Encoder._PCNT,deinit,Encoder._PCNT.deinit,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Encoder._PCNT,init,Encoder._PCNT.init,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Encoder._PCNT,irq,Encoder._PCNT.irq,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Encoder._PCNT,start,Encoder._PCNT.start,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Encoder._PCNT,value,Encoder._PCNT.value,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Encoder._PCNT,stop,Encoder._PCNT.stop,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Encoder._PCNT,__init__,Encoder._PCNT.__init__,method,"(self, *argv, **kwargs)",False,True,0,machine.pyi
machine,Encoder,__init__,Encoder.__init__,method,"(self, id, *args, **kwargs)",True,True,0,machine.pyi
machine,PWM,duty,PWM.duty,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,Pin.board,__init__,Pin.board.__init__,method,"(self, *argv, **kwargs)",False,True,0,machine.pyi
machine,ADC,deinit,ADC.deinit,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,ADCBlock,connect,ADCBlock.connect,method,"(self, channel, *, **kwargs)",False,True,0,machine.pyi
machine,ADCBlock,connect,ADCBlock.connect,method,"(self, source, *, **kwargs)",False,True,0,machine.pyi
machine,ADCBlock,connect,ADCBlock.connect,method,"(self, channel, source, *, **kwargs)",False,True,0,machine.pyi
machine,DAC,write,DAC.write,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,DAC,__init__,DAC.__init__,method,"(self, *argv, **kwargs)",False,True,0,machine.pyi
machine,Timer,value,Timer.value,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,TouchPad,config,TouchPad.config,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,TouchPad,read,TouchPad.read,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,TouchPad,__init__,TouchPad.__init__,method,"(self, *argv, **kwargs)",False,True,0,machine.pyi
machine,SDCard,ioctl,SDCard.ioctl,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SDCard,info,SDCard.info,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SDCard,deinit,SDCard.deinit,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SDCard,__init__,SDCard.__init__,method,"(self, *argv, **kwargs)",False,True,0,machine.pyi
machine,SoftSPI,deinit,SoftSPI.deinit,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftSPI,init,SoftSPI.init,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftSPI,write_readinto,SoftSPI.write_readinto,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftSPI,read,SoftSPI.read,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftSPI,write,SoftSPI.write,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftSPI,readinto,SoftSPI.readinto,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftI2C,readfrom_mem_into,SoftI2C.readfrom_mem_into,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftI2C,readfrom_into,SoftI2C.readfrom_into,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftI2C,readfrom_mem,SoftI2C.readfrom_mem,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftI2C,writeto_mem,SoftI2C.writeto_mem,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftI2C,scan,SoftI2C.scan,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftI2C,writeto,SoftI2C.writeto,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftI2C,writevto,SoftI2C.writevto,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftI2C,start,SoftI2C.start,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftI2C,readfrom,SoftI2C.readfrom,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftI2C,readinto,SoftI2C.readinto,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftI2C,init,SoftI2C.init,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftI2C,stop,SoftI2C.stop,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
machine,SoftI2C,write,SoftI2C.write,method,"(self, *args, **kwargs)",True,True,0,machine.pyi
math,,isclose,isclose,function,"(*args, **kwargs)",True,True,0,math.pyi
math,,factorial,factorial,function,"(*args, **kwargs)",True,True,0,math.pyi
neopixel,,bitstream,bitstream,function,"(*args, **kwargs)",True,True,0,neopixel.pyi
network,,ipconfig,ipconfig,function,"(param, *args, **kwargs)",True,True,0,network.pyi
network,WLAN,ipconfig,WLAN.ipconfig,method,"(self, *args, **kwargs)",True,True,0,network.pyi
network,WLAN,config,WLAN.config,method,"(self, *, **kwargs)",False,True,0,network.pyi
network,PPP,active,PPP.active,method,"(self, *args, **kwargs)",True,True,0,network.pyi
network,AbstractNIC,connect,AbstractNIC.connect,method,"(*, **kwargs)",False,True,0,network.pyi
network,AbstractNIC,connect,AbstractNIC.connect,method,"(*, **kwargs)",False,True,0,network.pyi
network,AbstractNIC,config,AbstractNIC.config,method,"(self, *, **kwargs)",False,True,0,network.pyi
ntptime,,time,time,function,"(*args, **kwargs)",True,True,0,ntptime.pyi
ntptime,,settime,settime,function,"(*args, **kwargs)",True,True,0,ntptime.pyi
ntptime,,gmtime,gmtime,function,"(*args, **kwargs)",True,True,0,ntptime.pyi
onewire,OneWire,select_rom,OneWire.select_rom,method,"(self, *args, **kwargs)",True,True,0,onewire.pyi
onewire,OneWire,writebit,OneWire.writebit,method,"(self, *args, **kwargs)",True,True,0,onewire.pyi
onewire,OneWire,writebyte,OneWire.writebyte,method,"(self, *args, **kwargs)",True,True,0,onewire.pyi
onewire,OneWire,_search_rom,OneWire._search_rom,method,"(self, *args, **kwargs)",True,True,0,onewire.pyi
onewire,OneWire,write,OneWire.write,method,"(self, *args, **kwargs)",True,True,0,onewire.pyi
onewire,OneWire,crc8,OneWire.crc8,method,"(self, *args, **kwargs)",True,True,0,onewire.pyi
onewire,OneWire,readinto,OneWire.readinto,method,"(self, *args, **kwargs)",True,True,0,onewire.pyi
onewire,OneWire,scan,OneWire.scan,method,"(self, *args, **kwargs)",True,True,0,onewire.pyi
onewire,OneWire,reset,OneWire.reset,method,"(self, *args, **kwargs)",True,True,0,onewire.pyi
onewire,OneWire,readbit,OneWire.readbit,method,"(self, *args, **kwargs)",True,True,0,onewire.pyi
onewire,OneWire,readbyte,OneWire.readbyte,method,"(self, *args, **kwargs)",True,True,0,onewire.pyi
onewire,OneWire,__init__,OneWire.__init__,method,"(self, *argv, **kwargs)",False,True,0,onewire.pyi
socket,socket,fileno,socket.fileno,method,"(self, *args, **kwargs)",True,True,0,socket.pyi
tls,SSLContext,load_verify_locations,SSLContext.load_verify_locations,method,"(self, *args, **kwargs)",True,True,0,tls.pyi
tls,SSLContext,set_ciphers,SSLContext.set_ciphers,method,"(self, *args, **kwargs)",True,True,0,tls.pyi
tls,SSLContext,wrap_socket,SSLContext.wrap_socket,method,"(self, *args, **kwargs)",True,True,0,tls.pyi
tls,SSLContext,load_cert_chain,SSLContext.load_cert_chain,method,"(self, *args, **kwargs)",True,True,0,tls.pyi
tls,SSLContext,get_ciphers,SSLContext.get_ciphers,method,"(self, *args, **kwargs)",True,True,0,tls.pyi
tls,SSLContext,__init__,SSLContext.__init__,method,"(self, *argv, **kwargs)",False,True,0,tls.pyi
ucollections,OrderedDict,popitem,OrderedDict.popitem,method,"(self, *args, **kwargs)",True,True,0,ucollections.pyi
ucollections,OrderedDict,pop,OrderedDict.pop,method,"(self, *args, **kwargs)",True,True,0,ucollections.pyi
ucollections,OrderedDict,values,OrderedDict.values,method,"(self, *args, **kwargs)",True,True,0,ucollections.pyi
ucollections,OrderedDict,setdefault,OrderedDict.setdefault,method,"(self, *args, **kwargs)",True,True,0,ucollections.pyi
ucollections,OrderedDict,update,OrderedDict.update,method,"(self, *args, **kwargs)",True,True,0,ucollections.pyi
ucollections,OrderedDict,copy,OrderedDict.copy,method,"(self, *args, **kwargs)",True,True,0,ucollections.pyi
ucollections,OrderedDict,clear,OrderedDict.clear,method,"(self, *args, **kwargs)",True,True,0,ucollections.pyi
ucollections,OrderedDict,keys,OrderedDict.keys,method,"(self, *args, **kwargs)",True,True,0,ucollections.pyi
ucollections,OrderedDict,get,OrderedDict.get,method,"(self, *args, **kwargs)",True,True,0,ucollections.pyi
ucollections,OrderedDict,items,OrderedDict.items,method,"(self, *args, **kwargs)",True,True,0,ucollections.pyi
ucollections,OrderedDict,fromkeys,OrderedDict.fromkeys,method,"(cls, *args, **kwargs)",True,True,0,ucollections.pyi
ucollections,OrderedDict,__init__,OrderedDict.__init__,method,"(self, *args, **kwargs)",True,True,0,ucollections.pyi
ucryptolib,aes,encrypt,aes.encrypt,method,"(self, *args, **kwargs)",True,True,0,ucryptolib.pyi
ucryptolib,aes,decrypt,aes.decrypt,method,"(self, *args, **kwargs)",True,True,0,ucryptolib.pyi
ucryptolib,aes,__init__,aes.__init__,method,"(self, *argv, **kwargs)",False,True,0,ucryptolib.pyi
uhashlib,sha1,digest,sha1.digest,method,"(self, *args, **kwargs)",True,True,0,uhashlib.pyi
uhashlib,sha1,update,sha1.update,method,"(self, *args, **kwargs)",True,True,0,uhashlib.pyi
uhashlib,sha1,__init__,sha1.__init__,method,"(self, *argv, **kwargs)",False,True,0,uhashlib.pyi
uhashlib,sha256,digest,sha256.digest,method,"(self, *args, **kwargs)",True,True,0,uhashlib.pyi
uhashlib,sha256,update,sha256.update,method,"(self, *args, **kwargs)",True,True,0,uhashlib.pyi
uhashlib,sha256,__init__,sha256.__init__,method,"(self, *argv, **kwargs)",False,True,0,uhashlib.pyi
uhashlib,md5,digest,md5.digest,method,"(self, *args, **kwargs)",True,True,0,uhashlib.pyi
uhashlib,md5,update,md5.update,method,"(self, *args, **kwargs)",True,True,0,uhashlib.pyi
uhashlib,md5,__init__,md5.__init__,method,"(self, *argv, **kwargs)",False,True,0,uhashlib.pyi
uheapq,,heappop,heappop,function,"(*args, **kwargs)",True,True,0,uheapq.pyi
uheapq,,heappush,heappush,function,"(*args, **kwargs)",True,True,0,uheapq.pyi
uheapq,,heapify,heapify,function,"(*args, **kwargs)",True,True,0,uheapq.pyi
urandom,,randrange,randrange,function,"(*args, **kwargs)",True,True,0,urandom.pyi
urandom,,random,random,function,"(*args, **kwargs)",True,True,0,urandom.pyi
urandom,,seed,seed,function,"(*args, **kwargs)",True,True,0,urandom.pyi
urandom,,uniform,uniform,function,"(*args, **kwargs)",True,True,0,urandom.pyi
urandom,,choice,choice,function,"(*args, **kwargs)",True,True,0,urandom.pyi
urandom,,randint,randint,function,"(*args, **kwargs)",True,True,0,urandom.pyi
urandom,,getrandbits,getrandbits,function,"(*args, **kwargs)",True,True,0,urandom.pyi
ure,,sub,sub,function,"(*args, **kwargs)",True,True,0,ure.pyi
ure,,search,search,function,"(*args, **kwargs)",True,True,0,ure.pyi
ure,,match,match,function,"(*args, **kwargs)",True,True,0,ure.pyi
ure,,compile,compile,function,"(*args, **kwargs)",True,True,0,ure.pyi
urequests,,delete,delete,function,"(*args, **kwargs)",True,True,0,urequests.pyi
urequests,,head,head,function,"(*args, **kwargs)",True,True,0,urequests.pyi
urequests,,patch,patch,function,"(*args, **kwargs)",True,True,0,urequests.pyi
urequests,,post,post,function,"(*args, **kwargs)",True,True,0,urequests.pyi
urequests,,request,request,function,"(*args, **kwargs)",True,True,0,urequests.pyi
urequests,,put,put,function,"(*args, **kwargs)",True,True,0,urequests.pyi
urequests,,get,get,function,"(*args, **kwargs)",True,True,0,urequests.pyi
urequests,Response,json,Response.json,method,"(self, *args, **kwargs)",True,True,0,urequests.pyi
urequests,Response,close,Response.close,method,"(self, *args, **kwargs)",True,True,0,urequests.pyi
urequests,Response,__init__,Response.__init__,method,"(self, *argv, **kwargs)",False,True,0,urequests.pyi
uwebsocket,websocket,readline,websocket.readline,method,"(self, *args, **kwargs)",True,True,0,uwebsocket.pyi
uwebsocket,websocket,ioctl,websocket.ioctl,method,"(self, *args, **kwargs)",True,True,0,uwebsocket.pyi
uwebsocket,websocket,write,websocket.write,method,"(self, *args, **kwargs)",True,True,0,uwebsocket.pyi
uwebsocket,websocket,close,websocket.close,method,"(self, *args, **kwargs)",True,True,0,uwebsocket.pyi
uwebsocket,websocket,readinto,websocket.readinto,method,"(self, *args, **kwargs)",True,True,0,uwebsocket.pyi
uwebsocket,websocket,read,websocket.read,method,"(self, *args, **kwargs)",True,True,0,uwebsocket.pyi
uwebsocket,websocket,__init__,websocket.__init__,method,"(self, *argv, **kwargs)",False,True,0,uwebsocket.pyi
vfs,VfsLfs2,rename,VfsLfs2.rename,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsLfs2,mount,VfsLfs2.mount,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsLfs2,statvfs,VfsLfs2.statvfs,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsLfs2,rmdir,VfsLfs2.rmdir,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsLfs2,stat,VfsLfs2.stat,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsLfs2,umount,VfsLfs2.umount,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsLfs2,remove,VfsLfs2.remove,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsLfs2,mkdir,VfsLfs2.mkdir,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsLfs2,open,VfsLfs2.open,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsLfs2,ilistdir,VfsLfs2.ilistdir,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsLfs2,chdir,VfsLfs2.chdir,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsLfs2,getcwd,VfsLfs2.getcwd,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsFat,rename,VfsFat.rename,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsFat,mount,VfsFat.mount,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsFat,statvfs,VfsFat.statvfs,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsFat,rmdir,VfsFat.rmdir,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsFat,stat,VfsFat.stat,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsFat,umount,VfsFat.umount,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsFat,remove,VfsFat.remove,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsFat,mkdir,VfsFat.mkdir,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsFat,open,VfsFat.open,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsFat,ilistdir,VfsFat.ilistdir,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsFat,chdir,VfsFat.chdir,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
vfs,VfsFat,getcwd,VfsFat.getcwd,method,"(self, *args, **kwargs)",True,True,0,vfs.pyi
